seqnames	start	end	width	strand	ID	type	counts	frequency
1	0	258000	258001	*	1_0_258000	gain	6	0.1
1	0	825000	825001	*	1_0_825000	gain	3	0.05
1	0	826000	826001	*	1_0_826000	gain	3	0.05
1	95000	258000	163001	*	1_95000_258000	gain	4	0.07
1	229000	260000	31001	*	1_229000_260000	gain	7	0.12
1	231000	238000	7001	*	1_231000_238000	gain	6	0.1
1	564000	570000	6001	*	1_564000_570000	gain	21	0.35
1	564000	572000	8001	*	1_564000_572000	gain	21	0.35
1	755000	759000	4001	*	1_755000_759000	gain	2	0.03
1	815000	826000	11001	*	1_815000_826000	gain	54	0.9
1	2583000	2692000	109001	*	1_2583000_2692000	gain	40	0.67
1	5726000	5736000	10001	*	1_5726000_5736000	gain	58	0.97
1	12841000	12950000	109001	*	1_12841000_12950000	gain	3	0.05
1	13165000	13220000	55001	*	1_13165000_13220000	gain	8	0.13
1	13167000	13220000	53001	*	1_13167000_13220000	gain	8	0.13
1	13178000	13188000	10001	*	1_13178000_13188000	gain	2	0.03
1	16830000	16885000	55001	*	1_16830000_16885000	gain	27	0.45
1	16830000	17275000	445001	*	1_16830000_17275000	gain	44	0.73
1	16830000	17276000	446001	*	1_16830000_17276000	gain	44	0.73
1	16832000	16885000	53001	*	1_16832000_16885000	gain	27	0.45
1	16832000	17275000	443001	*	1_16832000_17275000	gain	44	0.73
1	16832000	17276000	444001	*	1_16832000_17276000	gain	44	0.73
1	16833000	16843000	10001	*	1_16833000_16843000	gain	23	0.38
1	16833000	16885000	52001	*	1_16833000_16885000	gain	27	0.45
1	16843000	16885000	42001	*	1_16843000_16885000	gain	27	0.45
1	16885000	16974000	89001	*	1_16885000_16974000	gain	54	0.9
1	16885000	16982000	97001	*	1_16885000_16982000	gain	53	0.88
1	16885000	16985000	100001	*	1_16885000_16985000	gain	53	0.88
1	16885000	16986000	101001	*	1_16885000_16986000	gain	53	0.88
1	16885000	16987000	102001	*	1_16885000_16987000	gain	53	0.88
1	16974000	17013000	39001	*	1_16974000_17013000	gain	16	0.27
1	16974000	17275000	301001	*	1_16974000_17275000	gain	47	0.78
1	16982000	17013000	31001	*	1_16982000_17013000	gain	16	0.27
1	16985000	17013000	28001	*	1_16985000_17013000	gain	16	0.27
1	16985000	17035000	50001	*	1_16985000_17035000	gain	33	0.55
1	16985000	17051000	66001	*	1_16985000_17051000	gain	39	0.65
1	16985000	17124000	139001	*	1_16985000_17124000	gain	58	0.97
1	16985000	17274000	289001	*	1_16985000_17274000	gain	47	0.78
1	16985000	17276000	291001	*	1_16985000_17276000	gain	47	0.78
1	16986000	17051000	65001	*	1_16986000_17051000	gain	34	0.57
1	17051000	17110000	59001	*	1_17051000_17110000	gain	20	0.33
1	17196000	17205000	9001	*	1_17196000_17205000	gain	3	0.05
1	31904000	31905000	1001	*	1_31904000_31905000	gain	6	0.1
1	53262000	53264000	2001	*	1_53262000_53264000	gain	8	0.13
1	68628000	68630000	2001	*	1_68628000_68630000	gain	7	0.12
1	85980000	86006000	26001	*	1_85980000_86006000	gain	46	0.77
1	91852000	91853000	1001	*	1_91852000_91853000	gain	7	0.12
1	104104000	104160000	56001	*	1_104104000_104160000	gain	2	0.03
1	104104000	104305000	201001	*	1_104104000_104305000	gain	12	0.2
1	105412000	105413000	1001	*	1_105412000_105413000	gain	2	0.03
1	120531000	120637000	106001	*	1_120531000_120637000	gain	39	0.65
1	121107000	121143000	36001	*	1_121107000_121143000	gain	38	0.63
1	121108000	121142000	34001	*	1_121108000_121142000	gain	38	0.63
1	121133000	121142000	9001	*	1_121133000_121142000	gain	2	0.03
1	121171000	144864000	23693001	*	1_121171000_144864000	gain	37	0.62
1	121171000	145383000	24212001	*	1_121171000_145383000	gain	2	0.03
1	121351000	121405000	54001	*	1_121351000_121405000	gain	40	0.67
1	121351000	143645000	22294001	*	1_121351000_143645000	gain	39	0.65
1	121369000	121478000	109001	*	1_121369000_121478000	gain	38	0.63
1	121405000	121478000	73001	*	1_121405000_121478000	gain	10	0.17
1	121406000	121478000	72001	*	1_121406000_121478000	gain	9	0.15
1	121411000	121478000	67001	*	1_121411000_121478000	gain	9	0.15
1	121478000	143118000	21640001	*	1_121478000_143118000	gain	39	0.65
1	121478000	143284000	21806001	*	1_121478000_143284000	gain	39	0.65
1	142667000	142731000	64001	*	1_142667000_142731000	gain	3	0.05
1	142667000	143645000	978001	*	1_142667000_143645000	gain	6	0.1
1	142668000	142731000	63001	*	1_142668000_142731000	gain	3	0.05
1	142669000	142731000	62001	*	1_142669000_142731000	gain	3	0.05
1	142731000	142967000	236001	*	1_142731000_142967000	gain	4	0.07
1	142731000	143134000	403001	*	1_142731000_143134000	gain	5	0.08
1	142781000	143146000	365001	*	1_142781000_143146000	gain	5	0.08
1	142966000	143382000	416001	*	1_142966000_143382000	gain	39	0.65
1	142967000	143385000	418001	*	1_142967000_143385000	gain	39	0.65
1	142967000	143423000	456001	*	1_142967000_143423000	gain	39	0.65
1	143118000	143284000	166001	*	1_143118000_143284000	gain	39	0.65
1	143118000	143384000	266001	*	1_143118000_143384000	gain	40	0.67
1	143118000	143385000	267001	*	1_143118000_143385000	gain	40	0.67
1	143118000	143403000	285001	*	1_143118000_143403000	gain	40	0.67
1	143118000	143421000	303001	*	1_143118000_143421000	gain	40	0.67
1	143284000	143403000	119001	*	1_143284000_143403000	gain	37	0.62
1	143382000	143543000	161001	*	1_143382000_143543000	gain	40	0.67
1	143384000	143645000	261001	*	1_143384000_143645000	gain	40	0.67
1	143385000	143645000	260001	*	1_143385000_143645000	gain	40	0.67
1	143726000	143770000	44001	*	1_143726000_143770000	gain	2	0.03
1	143726000	144004000	278001	*	1_143726000_144004000	gain	38	0.63
1	143726000	144074000	348001	*	1_143726000_144074000	gain	38	0.63
1	144004000	144019000	15001	*	1_144004000_144019000	gain	32	0.53
1	144004000	144020000	16001	*	1_144004000_144020000	gain	32	0.53
1	144005000	144020000	15001	*	1_144005000_144020000	gain	32	0.53
1	144019000	144074000	55001	*	1_144019000_144074000	gain	12	0.2
